Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,MonetaryMin,MonetaryMax,TotalQuantity,AvgQuantityPerTransaction,MinQuantity,MaxQuantity,FirstPurchaseDaysAgo,PreferredDayOfWeek,PreferredHour,PreferredMonth,WeekendPurchaseRatio,AvgDaysBetweenPurchases,UniqueDescriptions,AvgProductsPerTransaction,UniqueCountries,NegativeQuantityCount,ZeroPriceCount,ReturnRatio,TotalTransactions,UniqueInvoices,AvgLinesPerInvoice,Age,SupportTicketsCount,SatisfactionScore,AgeCategory,SpendingCategory,FavoriteSeason,PreferredTimeOfDay,Region,LoyaltyLevel,WeekendPreference,BasketSizeCategory,ProductDiversity,Country,Churn,RegYear,RegMonth,GeoIP,CountryMismatch,MonetaryPerDay,AvgBasketValue,TenureRatio,CancelRate,ProductsPerTrans
35,5288.630000000001,16.950737179487184,13.603661689116102,-30.6,107.25,1693,5.426282051282051,-12,12,374,3,9,12,0.0,0.2218649517684887,25,0.6857142857142857,1,15,0,0.048076923076923,312,35,8.914285714285715,,1.0,4.0,Inconnu,VIP,Hiver,Matin,UK,Jeune,Inconnu,Moyen,Explorateur,United Kingdom,1,2010,7,China,1.0,73.45319444444446,146.90638888888893,4.194444444444445,0.04792332268370607,0.07667731629392971
18,3079.1,15.70969387755102,11.6847688239824,-15.0,68.0,1355,6.913265306122449,-3,32,374,2,13,10,0.1683673469387755,1.7179487179487178,106,5.888888888888889,1,24,0,0.1224489795918367,196,18,10.88888888888889,,3.0,4.0,Inconnu,VIP,Automne,Midi,UK,Établi,Semaine,Moyen,Explorateur,United Kingdom,0,2010,10,Poland,1.0,8.976967930029154,162.0578947368421,0.09329446064139942,0.1218274111675127,0.5380710659898477
18,7187.34,28.634820717131475,23.15013187581723,-60.84,132.8,5009,19.95617529880478,-36,360,374,4,12,11,0.0557768924302788,1.456,117,6.388888888888889,1,4,0,0.0159362549800796,251,18,13.944444444444445,46.0,2.0,5.0,45-54,VIP,Automne,Midi,Europe continentale,Ancien,Semaine,Grand,Explorateur,France,0,2009,9,United States,1.0,19.37288409703504,378.281052631579,0.008086253369272238,0.015873015873015872,0.45634920634920634
5,948.25,33.86607142857142,42.95311926234322,9.36,204.0,439,15.678571428571429,1,80,374,0,9,9,0.0,10.25925925925926,24,4.8,1,0,0,0.0,28,5,5.6,32.0,2.0,2.0,25-34,High,Automne,Matin,UK,Établi,Inconnu,Grand,Explorateur,United Kingdom,1,2010,1,,,3.3987455197132617,158.04166666666666,0.34408602150537637,0.0,0.8275862068965517
6,635.1,105.85,215.9862634521001,-131.39999999999998,350.4,58,9.666666666666666,-12,32,374,2,9,12,0.0,8.2,1,0.1666666666666666,1,3,0,0.5,6,6,1.0,,2.0,1.0,Inconnu,High,Hiver,Matin,UK,Jeune,Inconnu,Moyen,Spécialisé,United Kingdom,1,2009,12,Chile,1.0,14.43409090909091,90.72857142857143,7.5,0.42857142857142855,0.14285714285714285
20,4596.51,42.16981651376147,49.09086065619568,-35.49,243.36,2074,19.027522935779817,-21,144,374,2,16,1,0.1651376146788991,3.1481481481481484,63,3.15,1,6,0,0.055045871559633,109,20,5.45,25.0,2.0,5.0,25-34,VIP,Hiver,Après-midi,UK,Établi,Semaine,Grand,Explorateur,United Kingdom,0,2010,10,Canada,1.0,13.170515759312321,218.8814285714286,0.07449856733524356,0.05454545454545454,0.5727272727272728
27,5107.38,14.226685236768802,23.64446978200517,-72.15,153.0,3222,8.974930362116991,-39,120,374,1,12,12,0.0,0.9972067039106144,151,5.481481481481482,1,32,0,0.0891364902506963,359,27,13.296296296296296,78.0,3.0,2.0,65+,VIP,Hiver,Midi,UK,Ancien,Inconnu,Moyen,Explorateur,United Kingdom,0,2010,11,Sudan,1.0,13.916566757493188,182.40642857142856,0.021798365122615803,0.08888888888888889,0.4111111111111111
15,4627.62,72.3065625,142.20644033836976,-717.23,425.0,2015,31.484375,-40,144,374,4,15,10,0.0,5.587301587301587,49,3.1333333333333333,1,3,0,0.046875,64,15,4.266666666666667,38.0,2.0,2.0,35-44,VIP,Automne,Après-midi,UK,Établi,Inconnu,Grand,Explorateur,United Kingdom,0,2010,12,United States,1.0,12.926312849162011,289.22625,0.0446927374301676,0.046153846153846156,0.7230769230769231
118,59419.34,23.85360899237254,46.625077317700935,-275.0,408.0,37720,15.14251304696909,-100,288,374,1,13,1,0.0397430750702529,0.1285140562248996,580,4.838983050847458,1,112,0,0.0449618627057406,2491,118,21.110169491525426,,1.0,3.0,Inconnu,VIP,Hiver,Midi,UK,Ancien,Semaine,Grand,Explorateur,United Kingdom,0,2010,9,United States,1.0,158.87524064171123,499.32218487394954,0.00267379679144385,0.0449438202247191,0.22913322632423755
86,7711.38,7.627477744807122,9.759291387411546,-80.0,87.6,2049,2.026706231454006,-2,36,374,2,12,12,0.049455984174085,0.3336633663366337,338,3.8488372093023258,1,39,0,0.0385756676557863,1011,86,11.755813953488373,75.0,2.0,1.0,65+,VIP,Hiver,Midi,UK,Ancien,Semaine,Petit,Explorateur,United Kingdom,0,2010,9,China,1.0,20.72951612903226,88.63655172413793,0.008064516129032258,0.038537549407114624,0.32707509881422925
7,2005.63,29.934776119402983,35.43095185809055,3.75,178.20000000000002,613,9.149253731343284,1,50,374,1,9,9,0.0,4.2727272727272725,34,4.857142857142857,1,0,0,0.0,67,7,9.571428571428571,36.0,3.0,3.0,35-44,VIP,Automne,Matin,UK,Établi,Inconnu,Moyen,Explorateur,United Kingdom,0,2010,12,United States,1.0,6.988257839721255,250.70375,0.30662020905923343,0.0,0.5
1,489.6,37.66153846153846,28.254373952290948,15.8,102.0,190,14.615384615384617,2,48,374,2,9,12,0.0,0.0,13,13.0,1,0,0,0.0,13,1,13.0,40.0,2.0,4.0,35-44,Medium,Hiver,Matin,UK,Nouveau,Inconnu,Moyen,Modéré,United Kingdom,1,2010,2,United States,1.0,489.6,244.8,374.0,0.0,0.9285714285714286
3,598.83,19.961,5.365604603268926,12.48,39.6,265,8.833333333333334,1,24,374,1,15,6,0.0,11.10344827586207,28,9.333333333333334,1,0,0,0.0,30,3,10.0,28.0,2.0,,25-34,High,Été,Après-midi,UK,Établi,Inconnu,Moyen,Explorateur,United Kingdom,0,2010,9,Indonesia,1.0,1.8482407407407409,149.7075,0.15432098765432098,0.0,0.9032258064516129
76,50992.61,186.1044160583941,933.7723490590412,-8142.75,8142.75,32148,117.32846715328468,-1296,2400,374,1,11,10,0.0,1.1465201465201464,47,0.6052631578947368,1,32,0,0.1167883211678832,274,76,3.6052631578947367,,2.0,3.0,Inconnu,VIP,Automne,Matin,UK,Établi,Inconnu,Grand,Explorateur,United Kingdom,0,2010,9,Singapore,1.0,151.76372023809523,662.2416883116883,0.11607142857142858,0.11636363636363636,0.16727272727272727
2,389.44,16.226666666666667,4.731409999113387,5.04,27.0,208,8.666666666666666,2,24,374,2,9,12,0.0,4.869565217391305,22,11.0,1,0,0,0.0,24,2,12.0,,,3.0,Inconnu,Medium,Hiver,Matin,UK,Jeune,Inconnu,Moyen,Explorateur,United Kingdom,1,2010,11,Germany,1.0,3.446371681415929,129.81333333333333,2.309734513274336,0.0,0.88
18,6416.389999999999,26.73495833333333,50.20159874263217,-38.16,601.44,2868,11.95,-36,336,374,3,14,10,0.125,1.3849372384937235,163,9.055555555555555,2,4,1,0.0166666666666666,240,18,13.333333333333334,70.0,2.0,1.0,65+,VIP,Automne,Après-midi,Océanie,Établi,Semaine,Moyen,Explorateur,Australia,0,2010,9,China,1.0,18.92740412979351,337.7047368421052,0.10619469026548672,0.016597510373443983,0.6763485477178424
46,88125.38,81.90091078066915,87.97828932242282,-179.0,745.0,63012,58.561338289962826,-100,600,374,2,11,12,0.0,0.3255813953488372,479,10.152173913043478,1,113,0,0.1050185873605948,1076,46,23.39130434782609,53.0,4.0,2.0,45-54,VIP,Hiver,Matin,UK,Ancien,Inconnu,Grand,Explorateur,United Kingdom,0,2010,9,Venezuela,1.0,237.53471698113208,1875.008085106383,0.008086253369272238,0.10492107706592387,0.4336118848653668
3,-141.48,-8.32235294117647,21.79515184892381,-41.400000000000006,30.0,-132,-7.764705882352941,-24,24,374,2,10,12,0.0,9.6875,12,4.0,1,12,0,0.7058823529411765,17,3,5.666666666666667,,2.0,4.0,Inconnu,Low,Hiver,Matin,UK,Jeune,Inconnu,Petit,Modéré,United Kingdom,1,2010,7,United States,1.0,-0.9069230769230768,-35.37,1.3974358974358974,0.6666666666666666,0.6666666666666666
