Frequency,MonetaryAvg,AvgQuantityPerTransaction,CustomerTenureDays,FirstPurchaseDaysAgo,PreferredDayOfWeek,PreferredHour,PreferredMonth,WeekendPurchaseRatio,AvgDaysBetweenPurchases,UniqueProducts,UniqueDescriptions,AvgProductsPerTransaction,NegativeQuantityCount,ZeroPriceCount,CancelledTransactions,ReturnRatio,TotalTransactions,UniqueInvoices,AvgLinesPerInvoice,Age,SupportTicketsCount,SatisfactionScore,Region,LoyaltyLevel,BasketSizeCategory,ProductDiversity,Gender,Country,ProblemRatio,ZeroPriceRatio,SupportBurden,BasketComplexity,ExplorationRatio,LinesPerProduct
35,16.950737179487184,5.426282051282051,71,374,3,9,12,0.0,0.2218649517684887,24,25,0.6857142857142857,15,0,15,0.048076923076923,312,35,8.914285714285715,,1.0,4.0,UK,Jeune,Moyen,Explorateur,Unknown,United Kingdom,0.14392356844433513,0.0,0.013888888888888888,0.07667731629392971,1.0,5.288135593220339
18,15.70969387755102,6.913265306122449,342,374,2,13,10,0.1683673469387755,1.7179487179487178,106,106,5.888888888888889,24,0,24,0.1224489795918367,196,18,10.88888888888889,,3.0,4.0,UK,Établi,Moyen,Explorateur,M,United Kingdom,0.3661038019268621,0.0,0.008746355685131196,0.5380710659898477,0.9906542056074766,1.5806451612903225
18,28.634820717131475,19.95617529880478,370,374,4,12,11,0.0557768924302788,1.456,115,117,6.388888888888889,4,0,4,0.0159362549800796,251,18,13.944444444444445,46.0,2.0,5.0,Europe continentale,Ancien,Grand,Explorateur,Unknown,France,0.04768228672611134,0.0,0.005390835579514825,0.45634920634920634,1.0086206896551724,1.8872180451127818
5,33.86607142857142,15.678571428571429,278,374,0,9,9,0.0,10.25925925925926,24,24,4.8,0,0,0,0.0,28,5,5.6,32.0,2.0,2.0,UK,Établi,Grand,Explorateur,Unknown,United Kingdom,0.0,0.0,0.007168458781362007,0.8275862068965517,0.96,0.9655172413793103
6,105.85,9.666666666666666,43,374,2,9,12,0.0,8.2,1,1,0.1666666666666666,3,0,3,0.5,6,6,1.0,,2.0,1.0,UK,Jeune,Moyen,Spécialisé,M,United Kingdom,1.3571428571428572,0.0,0.045454545454545456,0.14285714285714285,0.5,0.8571428571428572
20,42.16981651376147,19.027522935779817,348,374,2,16,1,0.1651376146788991,3.1481481481481484,63,63,3.15,6,0,6,0.055045871559633,109,20,5.45,25.0,2.0,5.0,UK,Établi,Grand,Explorateur,M,United Kingdom,0.16413678065054207,0.0,0.0057306590257879654,0.5727272727272728,0.984375,1.3132530120481927
27,14.226685236768802,8.974930362116991,366,374,1,12,12,0.0,0.9972067039106144,148,151,5.481481481481482,32,0,32,0.0891364902506963,359,27,13.296296296296296,78.0,3.0,2.0,UK,Ancien,Moyen,Explorateur,Unknown,United Kingdom,0.26691426802847407,0.0,0.008174386920980926,0.4111111111111111,1.0134228187919463,2.051428571428571
15,72.3065625,31.484375,357,374,4,15,10,0.0,5.587301587301587,47,49,3.1333333333333333,3,0,3,0.046875,64,15,4.266666666666667,38.0,2.0,2.0,UK,Établi,Grand,Explorateur,F,United Kingdom,0.1391826923076923,0.0,0.00558659217877095,0.7230769230769231,1.0208333333333333,1.0322580645161292
118,23.85360899237254,15.14251304696909,373,374,1,13,1,0.0397430750702529,0.1285140562248996,571,580,4.838983050847458,112,0,112,0.0449618627057406,2491,118,21.110169491525426,,1.0,3.0,UK,Ancien,Grand,Explorateur,M,United Kingdom,0.1348495031551788,0.0,0.00267379679144385,0.22913322632423755,1.013986013986014,3.615384615384616
86,7.627477744807122,2.026706231454006,371,374,2,12,12,0.049455984174085,0.3336633663366337,331,338,3.8488372093023258,39,0,39,0.0385756676557863,1011,86,11.755813953488373,75.0,2.0,1.0,UK,Ancien,Petit,Explorateur,M,United Kingdom,0.11565076647001554,0.0,0.005376344086021506,0.32707509881422925,1.0180722891566265,2.424460431654676
7,29.934776119402983,9.149253731343284,286,374,1,9,9,0.0,4.2727272727272725,34,34,4.857142857142857,0,0,0,0.0,67,7,9.571428571428571,36.0,3.0,3.0,UK,Établi,Moyen,Explorateur,F,United Kingdom,0.0,0.0,0.010452961672473868,0.5,0.9714285714285714,1.6341463414634148
1,37.66153846153846,14.615384615384617,0,374,2,9,12,0.0,0.0,13,13,13.0,0,0,0,0.0,13,1,13.0,40.0,2.0,4.0,UK,Nouveau,Moyen,Modéré,Unknown,United Kingdom,0.0,0.0,2.0,0.9285714285714286,0.9285714285714286,0.9285714285714286
3,19.961,8.833333333333334,323,374,1,15,6,0.0,11.10344827586207,28,28,9.333333333333334,0,0,0,0.0,30,3,10.0,28.0,2.0,,UK,Établi,Moyen,Explorateur,Unknown,United Kingdom,0.0,0.0,0.006172839506172839,0.9032258064516129,0.9655172413793104,0.9677419354838709
76,186.1044160583941,117.32846715328468,335,374,1,11,10,0.0,1.1465201465201464,46,47,0.6052631578947368,32,0,32,0.1167883211678832,274,76,3.6052631578947367,,2.0,3.0,UK,Établi,Grand,Explorateur,Unknown,United Kingdom,0.34951559389515596,0.0,0.005952380952380952,0.16727272727272727,1.0,2.2459016393442623
2,16.226666666666667,8.666666666666666,112,374,2,9,12,0.0,4.869565217391305,22,22,11.0,0,0,0,0.0,24,2,12.0,,,3.0,UK,Jeune,Moyen,Explorateur,M,United Kingdom,0.0,0.0,,0.88,0.9565217391304348,1.0
18,26.73495833333333,11.95,338,374,3,14,10,0.125,1.3849372384937235,163,163,9.055555555555555,4,1,4,0.0166666666666666,240,18,13.333333333333334,70.0,2.0,1.0,Océanie,Établi,Moyen,Explorateur,F,Australia,0.04986168741355457,0.004149377593360996,0.0058997050147492625,0.6763485477178424,0.9939024390243902,1.3259668508287294
46,81.90091078066915,58.561338289962826,370,374,2,11,12,0.0,0.3255813953488372,467,479,10.152173913043478,113,0,113,0.1050185873605948,1076,46,23.39130434782609,53.0,4.0,2.0,UK,Ancien,Grand,Explorateur,F,United Kingdom,0.31486074149244253,0.0,0.01078167115902965,0.4336118848653668,1.0235042735042734,2.0974658869395713
3,-8.32235294117647,-7.764705882352941,155,374,2,10,12,0.0,9.6875,12,12,4.0,12,0,12,0.7058823529411765,17,3,5.666666666666667,,2.0,4.0,UK,Jeune,Petit,Modéré,F,United Kingdom,2.0392156862745097,0.0,0.01282051282051282,0.6666666666666666,0.9230769230769231,1.1333333333333333
